salon,distancia,up,down
CDC Sala General,189,82.96486351194716,108.54917178984742
CDC Sala General,189,12.002943320278343,20.634789941550313
CDC Sala General,189,30.470088327997022,72.2311216320237
CDC Sala General,189,13.303843476916724,40.005142012714884
CDC Sala General,189,23.99194462552091,77.73493592383994
CDC Sala General,189,47.13545690940382,111.66731599382126
CDC Sala General,189,25.293544480295623,76.5324169283693
CDC Sala General,189,120.52124375321684,192.770321777138
CDC Sala General,189,129.87662943408966,164.43651706526956
CDC Sala General,189,108.56691505099882,197.3996007658961
CDC Sala General,189,121.20273203477996,37.10261774467089
CDC Sala General,189,15.32382233215299,86.30207713947011
CDC Sala General,189,100.3316795547424,198.68959187558886
CDC Sala General,189,101.878917872119,171.09075589259663
CDC Sala General,189,97.73959590352563,166.86553932552633
CDC Sala General,189,77.1923485540144,141.5584605301583
CDC Sala General,189,11.903838603546538,18.861116656659398
CDC Sala General,189,28.15485961415705,46.10499983647126
CDC Sala General,189,10.982016428515303,58.13639147452242
CDC Sala General,189,34.44480477905923,42.18466971339173
